Author,Comment Text
@XO0FX,เธอเป็นคนละเอียดมาก ในด้านการเงินและงบประมาณ เธออภิปรายเกี่ยวกับการใช้เงินของรัฐบาลและการคอรัปชั่น เธอเรียนจบด้านการเงินจากฝรั่งเศสและอื่นๆ ผมมั่นใจในตัวผู้หญิงคนนีัมากๆ
@arnnerone4819,"Khun Sirikunya, she studied in economics and had worked for TDRI before she joined the party. I'm pretty sure she'll very well fit-in, in charge of ministry of commerce. Anything can be learned and accomplished if you have will and empathy"
@sundancekick9359,🧡🧡🧡🧡🧡🍊🍊🍊🍊🍊🍊
@TheSentinelofLiberty1943,"I pray for the Thai people to have democracy, equality, prosperity and peace."
@tanawutsuthiseranee460,"This People's Party sits in the heart of the FCs who are the youngster, the workers, the middle class, and the educated in every province throughout Thailand. They want changes for a better Thailand and better lives."
@honeyandmeeatandtravel8195,We pround of you and will be suppoted to you The People party🧡🧡
@kittikunkhumpimai1984,"Hope for thai People
Change for progress."
@kampong0511,🧡🧡🧡🍊🍊🍊
@pitakkasikij5767,The People's Party for all Thai people.
@TanitKongpet,46🧡🧡🧡🧡🧡
@TheSuperPR,Yes they probably win but to form a cabinet maybe not easy. The old guard is there.😢
@Puimak01,People 's party is the best and the best for Thai people  🍊🧡💪.
@reachtrita,"Thailand’s chance to finally have an honest and qualified government. I wish and hope the People’s party win big and get to work to turn the country around from corruption, wealth gap and slow economic growth."
@MomChomPoo,🧡🧡🧡🧡
@SantiSanti-hm5ts,🧡🧡🧡🤘✌️
@beingonthewave7982,Poisonous Party
@Jjjjjjjjjjjjjjjjjjjjjjkk,"Whenever this party governs Thailand, Thailand will back in the place it should have been. They may start with the youngs but now many academic professors and successful business people support this party publicly and many conservatives in the past (the yellow shirt) turn to support them"
@MrNicoandnat,🧡🧡🧡🧡🍊🍊🍊🍊🍊🍊🍊
@feedmeifyoudare7613,🍊🍊🍊🍊🍊🍊
@feemcody,🧡🧡🧡 Always and forever. Freedom of speech.
@Tatson-g4u,🧡🍊
@lovedocomo,"Only the People's Party can make Thailand prosperous and decisively combat corruption. The party's goal is for the people's power to be supreme, preventing the military, capitalists, and the elite from seizing control of Thailand again."
@deoriolos,Thank you for your kindness!
@pisistkulasetthakorn9360,"They do it for themself, not for Thai people. Politics has never been for people."
@arnnerone4819,Time is on their side. The OLD will be sidelined
@Joew620,how does it feel when ten millions votes loses to a couple hundreds decisions
@lovedocomo,只有人民党才能使泰国繁荣昌盛，并彻底打击腐败。人民党的目标是实现人民至上，防止军方、资本家和精英阶层再次掌控泰国。🧡🧡🧡🧡🧡🍊🍊🍊🍊🍊
@mamanpd5341,Hopefully the new leader will continue the Kra Canal project. So that Thailand's income and economy will increase even more.
@Jame-Appz,Number 46 — Vote for change.
@英介木下,😮😮😮😮😮😮
@tokgrandpark277,They are our hope🍊
@gaohuynhanderson,I’m rooting for you from 🇺🇸!! I’m Team People’s Party!! 🧡🧡🧡
@prapaipatklungsupya8763,The People’s Party ..is the ฺBEST one to form the next government !!!
@wiseman800,ต่อให้ยุบพรรคอีกกี่ครั้งก็จะเลือกส้ม🧡🧡🧡
@Constella-xyz,"There are rumors about coincidence sign!
He looks like lee kuan yew who came to lead country to the right direction.
His nickname is Deng same as Deng Xiao ping who lead country to prosperity."
@chenkun9.81g9,May God help you to make a change. I love Thailand.🍑
@power-c5y,People party will win.
@peterkuek2316,If the court did not dismiss PM 31 now Thailand will not be in turmoil
@Champagneatsea,It started from jail…and will finish in jail. 😅
@TheerayutChansri-rq7pk,🤎🤎🤎🤎🤎🤎🤎🤎🤎🤎🤎🤎🤎🤎
@truthseeker232,"The owner of this party studied Marxist-Leninist theory (Wikipedia) ...Mao used ""Red Guards"" to destroy the the Four Olds"" to enforce communist ideas in China."
@PaulinAsia555,"If they do, the Conservatives will find a way to deny them."
@gingercat-paultyr,I personally want to see the big change in Thailand.
@Δέλτα-ε7ν,"For those who've come before, those who are here, and for those who come after: vote for Thailand's People Party! 🇹🇭🍊🧡🙏"
@jany2465,🎉🎉❤❤ฉันรักพวกเค้า🎉🎉
@sarayutartwong4761,🎉 People Party Government 🧡🧡🧡
@jaguarofoz,..and the People said 'Let there be light' - Power of the powerless. Go Tangerines 🎆
@humphreysbc,🍊🍊🧡🧡🧡🧡🌹
@Chris-tm4zq,You mean the people party that lost. Lol 😂.
@nickshv8727,I love Thailand more than you. And this party is a bunch of bastards. You're going to see it in few years if these ass*oles win
@nickshv8727,= cultural death for Thailand
@arnnerone4819,The Conservatives are running out of ways and time. Democracy is not that cozy
@Nozomi600,Senators can't vote this time. The conservatives have no excuses to deny the people's power anymore. 🧡🍊
@newworld6080,no more People Party Government on the real world.
@arnnerone4819,​ @newworld6080 The real world has no place for people who don't even dare to dream
@sarayutartwong4761,@n @newworld6080 yes they will. 🧡
@nickshv8727,A**holes
@CanYouKeepSecrets,Corruption won’t go away easily from Thailand
@nickywan8796,🧡 🧡🧡🧡
@Yubaba19th,"It has been a rough and tough road to grow true democracy in Thailand with an existing power of RIGHTY. After a soldier coup in 2014, Thailand has been nothing but declining and dying country. The saddest part is that there are lot of Thai ppl who aren't aware of this."
@Jack06629a,"They should add the word ""Action"" to their name to have a chance."
@thanate5154,"People's Party has run a great campaign and in a ""regular"" democracy, we would have no doubt that it will win a majority and can form a government."
@1ndms,Thai people will never give up.we will vote this party until they can form government 🧡🧡🧡🧡🧡🧡🧡
@KrisM-hp7sz,We will try our best 😎
@dayprint4563,พรรคประชาชน  will win and the hope will come
@US168P,"I am thai....very hopeless because a good team พรรคเศรษฐกิจ can""t fight with bad teams 😭😭😭😭😭😭😭😭😭😭😭😭😭😭"
@nantasinchinklang3613,The only hope for Thailand is on People's Party
@zenweaver,The real government is the Royalty.All this is for show.
@chachuchuchacei09,"Even international observers understand why the former Move Forward Party failed to form a government last time. In this election, the Orange Party (People’s Party) is certain to lead the formation of the next government. ขนาดต่างชาติเขายังเข้าใจเลยว่า อดีตพรรคก้าวไกลที่สมัยที่แล้วไม่ได้เป็นรัฐบาลเพราะอะไร แต่เลือกตั้งรอบนี้พรรคประชาชนสีส้ม ได้เป็นแกนนำจัดตั้งรัฐบาลแน่นอน"
@AmethystZee,Destroy thailand that is what their aim. No reform of anything to benifit the country just want to change the laws to safe their own representatives from goingto jail.
@ryanjill1479,"No need mor plai or anan to predict, very sure the outcome will be as following.
 The People's party will win the largest seats in the election, and it is able to coalition with some of the small parties to form the government.
However, after a while, the conservatives or the military will again raise issue with the constitution court that PA has violated certain laws etc etc. then PA coalition will be disbanded again and the military backed party will takeover ."
@Annasupermom12345,"In my view, the People Party’s leadership team, PM and deputy PM candidates included doesn’t match the depth of experience and professionalism shown by Supagee and the seasoned team at Bhumjaithai. Real-world results and track records matter far more than rhetoric or marketing."
@alexgoslar4057,"I wish that it wasnt the case, but Thai politics is marked by profound misunderstanding and misconceptions."
@Hea9lt9hy9,Corrupt and no democracy in Thailand
@TerenceTHNg,"This party attracts the young and educated who want reforms for a better and progressive Thailand. So many roadblocks ahead. Unless, the Constitution is amended, reforms will take a backseat. The Thais deserve better. Change for good of all."
@avatar_tian9340,People's Party Governing? Yes Indeed❤❤
@paulverdon4362,"as a non thai living in Thailand these guys scare me a little, there country i know but they seem rather racist"
@reachtrita,"That is the problem. Not being aware, they are denying  for change."
@yayheeyhiii,✅✅✅
@lovedocomo,"Only the People's Party can make Thailand prosperous and decisively combat corruption. The party's goal is for the people's power to be supreme, preventing the military, capitalists, and the elite from seizing control of Thailand again.🧡🧡🧡🧡🧡🍊🍊🍊🍊🍊"
@leszen6302," @lovedocomo  
Dream on.

The Thai Teochew elite in Bangkok with backing of military will never give up their power as puppetmaster."
@ManiMani-zz5pi,Thanks ya 🍊
@Yiimwanjourney,I agree with that. I will vote this party until they can be prime minister  🍊🍊🍊🍊
@mawinfirst6243,Majority of Thai people
@NitiponPonJanice,Me too love and support People's Party thanks Thai People's Party for your leadership together we'll make our country great again more clean and Prosperous 🧡🧡🙏
@TerenceTHNg,Good. Keep fighting for a better Thailand.
@nickshv8727,Yeah... make Thailand US's puppy... CULTURAL DEATH
@SilasHaslam,"AFD even needs to establish themselves for 1 election before the explosive growth, the Economic party will surely gain some ground this election. I don’t think the world is going to end tomorrow even the orange wins again. (They won’t be able to form a coalition and that’s totally on them) Let’s see after this it’s just the beginning."
@mesamis144,No country is better than Scambodia
@winterlion9366,There is no democracy in Thailand.  It's a de - mock crazy.  Not pro democracy.
@Veltrona8,"Thailand needs the People’s Party precisely because mindsets like yours are everywhere. The country isn’t being held back by reform, it’s being held back by people like you."
@AmethystZee,"​ @Veltrona8 If I have that many likemind , thenI am glad since Thailand probably can avoid having this pretentious party as new leader. 😊"
@arnnerone4819,Dilusional
@Veltrona8,"You’re mistaking “long resumes” for real capability. Bhumjaithai’s team may be able to manage what already exists—budgets, welfare schemes, quick wins—but that has nothing to do with building the technological foundations Thailand actually needs. Deep tech and semiconductor design require decades of R&D, failure, IP creation, and real engineering power. They don’t even have the ability to understand that world. Thailand moves forward only when someone builds something genuinely new, not when someone maintains the old system. Managers can keep the machine running, but they will never transform it."
@Annasupermom12345," @Veltrona8  This is a very romantic take on “deep tech,” but it confuses ideology with execution.

No country builds semiconductor ecosystems through vibes, speeches, or activist energy. They do it through coordination: government + industry + global partners + capital + regulation + talent pipelines. That’s not “maintaining the old system”, that is how Taiwan, Korea, Japan, and even the US actually built theirs.

Real deep tech starts with people who understand how large systems work in practice: supply chains, procurement, IP licensing, cross-border partnerships, risk management, and scaling. That’s why seasoned operators matter. Experience isn’t cosmetic, it’s compounding.

Ironically, the belief that “managers can’t transform” is exactly what people say before they’ve ever built anything at scale.

Also, let’s be honest: writing ambitious policy decks about semiconductors ≠ understanding semiconductor manufacturing. The gap between theory and delivery is where most “revolutionary” ideas quietly die.

Transformation doesn’t come from rejecting the system.
It comes from knowing it well enough to bend it.

That’s why I back teams who’ve actually worked across industries, borders, and crises …not those still auditioning in the comment section."
@wattana5028,"Please think about this.If the blue party came back to form the government it may put your ""seasoned team"", only three of them,at the same position to make it look good in the eyes of people like you but how about the rest. For sure it's going to put the same old ugly faces to enjoy the high budget ministries as it has been done.So Miss G and her team are nothing but sugarcoat."
@Annasupermom12345,"⁠Fair point, and I appreciate the respectful tone despite our differing political views. As Thais, we both want what’s best for the country. Thailand absolutely cannot afford sugarcoating, especially in critical ministries. But I strongly disagree that Bhumjaithai is just three faces for optics.

What gives me confidence is the depth behind the scenes: seasoned technocrats, private-sector operators, and professionals who have actually built and delivered in the real world. Governance is execution, not stage performance.

This is also why, for this round, I don’t see the People Party as suitable. Their core strength is activism and messaging — not coalition-building, not execution, and not working constructively with industry or institutions. That may work in opposition politics, but it’s a high-risk approach for governing in a volatile global environment.

Real transformation doesn’t come from shouting “revolution” louder. It comes from cooperation with the private sector, global partners, engineers, and operators who’ve built and delivered success before.

Leaders like Khun Supagee matter not just for their resumes, but because they attract other high-caliber people into advisory and execution roles. Talent follows credibility. Ecosystems don’t form around slogans.

Thailand isn’t a campus debate or a policy lab experiment. It doesn’t need a protest movement in power right now. Thailand needs a team that can keep the system running while upgrading it responsibly with competence, stability, and respect for institutions. 

That’s why, this time, I choose execution over theatrics."
@arnnerone4819,"All the seasoning at surface level and you easily fell for it. 😂 This is why Thailand hasn't changed, for the better. Too many simple minds dilute the progress"
