Author,Comment Text
@_tk_9,Next time challenge try siachen glacier the higgest battleground on whole earth.
@AhmedShail-x7u,K
@JasonAddison-f9u,Im Subscribed
@NainaJha-g4g,Cft❤
@NasserAchatan-z8c,❤❤
@shortgaming99,Hello
@Quantum1ty,poggers
@hey.pratham,H
@Stendofer3kj,​ @hey.pratham i
@ابوالنور-ض4ض,ناوي ناوي❤ العاب كرتون
@WarRobotDoge,Subscribe
@Pelinka_DO_SMTH,man ur insane
@Tommo3756,Q
@Braydennnnnnnnnnn,U r amazing
@Kestisy,Ok
@mason18q,hi mrbeast
@TheWildCardShow,😂
@omaralbik2652,I love u
@elizabethrosemohammed9430,Hii
@yourmajesty010,Yo
@Hendogsolos,Ok
@keiperez5135,In the Dominican Republic we love you ❤️🇩🇴
@NeedForSpeedRTX,yes
@Zonoton,ok
@YoshiRyder,A
@ItsSalvatore,hi beast
@tormented_skops,Wat 44 seconds ago :000
@MetxsightseerRailfan,hi
@eleni_draws,Ok
@kipcraft9,First
@lmaosomerandomguy,No.
@TIBI..,Love u
@ghaithkimnik7711,كيف حالك يا جيمي
@zoe11_,nevermind!! :)
@thedripking,W
@yosr4you,Beast
@chiji2118,🎉😂🎉
@itsazinmyz5729,I love you mr best❤️❤️
@aremandoo,Hi
@dogwithahat609,no
@blueridgeocean,10.4 boss
@Pam234,No sir
@KeeganPVP,ok
@anthonyaguilar3639,Mr.Beast eres mi idolo bro :D
@RatioOnYT,Ok
@Bric_workshop,Got me lol
@aremandoo,No way
@duckwitbuckethat5931,Hey mister beast
@buddyboy2690,Yes
@Cha12lieBat,Hello
@eran8593,Okay ❤
@Rip_LegendPele,:)
@cforciann,pp
@Escador1,"Yes. (Btw, epic content) :)"
@carvtheduck,ok
@theabsolutegoat1,ok
@BushCampImperfectCell,Huh
@ardaninho,THE j
@cglcoolman5260,Ok
@hajongsongstideomkhajong7790,O rely love this hotel
@chacharealsmooth9113,Yezzir
@Redacted-ef5bn,Hi
@MTGMAMING,please jimmy solved my problem
@Vegatow,:0
@DoggoParadise,❤❤
@BushCampImperfectCell,Oh dang sorry bro you right.
@theoeditz2399,Ye boy
@the_red_doge,No
@ChaoticTM,xddddd
@lxxcidityy,ok
@EbrimaYT,Ok
@RTG-t4t,Я русский
@striker_editz7146,Ok
@ItzYanderGD,Yooo
@sunky-,HIIII
@xrce.8,Hi mrbeast
@Munckefar,How did you know😭😭
@headsdownharry,No
@Dev_Neon,HIII
@anabelleamy,no
@BendigoBS,Hi
@نسمةأمل-ث1ص,شكرا لك على اسعادي
@cooolboy783,Fine
@patriciadelgado2534,Jimmy lo necesito en español😪
@tatsujee,😲
@pumpkinpie1021,w
@tiqsoo,Hi
@luvlymari153,Yoo 2 mins ago
@zeroxyzzz,Ok
@2AMNumiofiicial,Hi
@vspianist,ok
@Vibe5114,:D
@alejandramontezco1302,o
@soyke5895,Hi Jimmy
@Idontknow12237,I love you man
@magdalenalipnicka3974,❤
@TheNyanDoge,Ye
@igor_ostrovski,YEAH LET S GO
@SnakezMusic,Jimmy! :D
@zacharychasteen4650,UWU
@omaralturki9209,Okay
@CommentGod54,You’re evil…
@JustAk1d,You are the best youtuber
@Sub2S1Lentfr,But why would I do that????
@michaeljames9066,Let's gooo
@Icey10201,Here before it blows up
@doge11272,MR BEAST IS THE BEST
@mariaconstanciadelacruzjua2691,Hola
@Determined_6,d:
@sarebanee,ok :(
@lukas-dp7zy,Ok
@Ilikewrestling201,No
@PPGPlanet14,Hi
@ThatGuyJimmy,Hi :)
@gangstercat093,uwu
@mileypetrich3489,Hello!!
@NaeliC,Hi I love you
@gangstercat093,Earlay
@tolinnn_y,lmao u got me
@dinkle._.berry3597,Ok mr beast I trust u
@SomeNoobXD07,Ok
@Sotsuma,Sheesh!
@maiabrian,YOUR MY FAVORITE YOUTUBER! and i subbed :)
@lareinard410,Hola
@Jimmyrayop,Ooo
@TitanTvMan165,Wait but is in spanish
@leonmaloney999,$LHMBeats1
@Trex_Xtreme69,Hi
@marcusjasso7234,Mr beast how is brother Bobby
@psshortfact7145,Hi
@psshortfact7145,Please come to India
@AbhiKumar-ti7ou,Hi sir I'm from nepal
@iceicebabii1023,Hi Mr. Beast
@LordOfTheChickinz,I need 52cents
@dipakdas2169,Bist brother give me One bike
@Feeqys,i just subscribe after 7 years ago
@fredrodrigues2621,Mr Beast
@nadie.cleo1379,Ey mrbest give a ps5 plis
@Dvorovoi_Footbol,Russia
@sajidalichiraagh5053,Hi
@anthonymera4981,Hola
@killersansdied1201,I need money I am literally in an appointment my mom has to work every day hard
